Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,LabApp\LabApp.csproj,File,LabApp\LabApp.csproj,,,Microsoft.Bcl.AsyncInterfaces 9.0.0,,,,,"Microsoft.Bcl.AsyncInterfaces, 9.0.0  Recommendation:  Remove Microsoft.Bcl.AsyncInterfaces, and replace with new package Microsoft.Bcl.AsyncInterfaces 10.0.8"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,LabApp\LabApp.csproj,File,LabApp\LabApp.csproj,,,System.Buffers 4.5.1,,,,,"System.Buffers, 4.5.1  Recommendation:  Package functionality included with new framework reference"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,LabApp\LabApp.csproj,File,LabApp\LabApp.csproj,,,System.Drawing.Common 9.0.0,,,,,"System.Drawing.Common, 9.0.0  Recommendation:  Remove System.Drawing.Common, and replace with new package System.Drawing.Common 10.0.8"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,LabApp\LabApp.csproj,File,LabApp\LabApp.csproj,,,System.Drawing.Primitives 4.3.0,,,,,"System.Drawing.Primitives, 4.3.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,LabApp\LabApp.csproj,File,LabApp\LabApp.csproj,,,System.IO.Pipelines 9.0.0,,,,,"System.IO.Pipelines, 9.0.0  Recommendation:  Remove System.IO.Pipelines, and replace with new package System.IO.Pipelines 10.0.8"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,LabApp\LabApp.csproj,File,LabApp\LabApp.csproj,,,System.Memory 4.5.5,,,,,"System.Memory, 4.5.5  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,LabApp\LabApp.csproj,File,LabApp\LabApp.csproj,,,System.Numerics.Vectors 4.5.0,,,,,"System.Numerics.Vectors, 4.5.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,LabApp\LabApp.csproj,File,LabApp\LabApp.csproj,,,System.Runtime 4.3.1,,,,,"System.Runtime, 4.3.1  Recommendation:  Package functionality included with new framework reference"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,LabApp\LabApp.csproj,File,LabApp\LabApp.csproj,,,System.Runtime.CompilerServices.Unsafe 6.0.0,,,,,"System.Runtime.CompilerServices.Unsafe, 6.0.0  Recommendation:  Remove System.Runtime.CompilerServices.Unsafe, and replace with new package System.Runtime.CompilerServices.Unsafe 6.1.2"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,LabApp\LabApp.csproj,File,LabApp\LabApp.csproj,,,System.Runtime.InteropServices.RuntimeInformation 4.3.0,,,,,"System.Runtime.InteropServices.RuntimeInformation, 4.3.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,LabApp\LabApp.csproj,File,LabApp\LabApp.csproj,,,System.Text.Encodings.Web 9.0.0,,,,,"System.Text.Encodings.Web, 9.0.0  Recommendation:  Remove System.Text.Encodings.Web, and replace with new package System.Text.Encodings.Web 10.0.8"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,LabApp\LabApp.csproj,File,LabApp\LabApp.csproj,,,System.Text.Json 9.0.0,,,,,"System.Text.Json, 9.0.0  Recommendation:  Remove System.Text.Json, and replace with new package System.Text.Json 10.0.8"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,LabApp\LabApp.csproj,File,LabApp\LabApp.csproj,,,System.Threading.Tasks.Extensions 4.5.4,,,,,"System.Threading.Tasks.Extensions, 4.5.4  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,LabApp\LabApp.csproj,File,LabApp\LabApp.csproj,,,System.ValueTuple 4.5.0,,,,,"System.ValueTuple, 4.5.0  Recommendation:  Package functionality included with new framework reference"
Project.0001,Project file needs to be converted to SDK-style,Active,Mandatory,1,LabApp\LabApp.csproj,File,LabApp\LabApp.csproj,,,,,,,,
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,LabApp\LabApp.csproj,File,LabApp\LabApp.csproj,,,,,,,,"Current target framework: .NETFramework,Version=v4.7.2 Recommended target framework: net10.0-windows"
